id,tipo,funcion,codigo_sectorial,sectorial,codigo_grupo,grupo,valor
86,ingresos,Funcion Ejecutiva,18,Sectorial Desarrollo Urbano y Vivienda,240000,Venta de Activos no Finacieros,14840.00
87,ingresos,Funcion Electoral,22,Electoral,130000,Tasas y Contribuciones ,9985677.93
88,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,130000,Tasas y Contribuciones ,60378677.66
89,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,140000,Venta de Bienes y Servicios,850526.20
90,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,170000,Rentas de Inversiones y Multas ,1150907.12
91,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,180000,Transferencias y Donaciones Corrientes,31761818.00
92,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,190000,Otros Ingresos,963058.00
93,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,270000,Recuperacion de Inversiones,16100.00
94,ingresos,Funcion de Transparecia y Control Social,23,Transparencia y Control Social,380000,Cuentas Pendientes por Cobrar,3000000.00
95,gastos,Funcion Ejecutiva,00,Tesoro Nacional,530000,Bienes de Servicios de Consumo,4485800000.00
96,gastos,Funcion Ejecutiva,00,Tesoro Nacional,560000,Gastos Financieros,705518820.86
97,gastos,Funcion Ejecutiva,00,Tesoro Nacional,570000,Otros Gastos Corrientes,14236680.48
98,gastos,Funcion Ejecutiva,00,Tesoro Nacional,580000,Transferencias y Donaciones Corrientes,1182171875.80
99,gastos,Funcion Ejecutiva,00,Tesoro Nacional,710000,Gastos en Personal para Inversion,154732022.13
100,gastos,Funcion Ejecutiva,00,Tesoro Nacional,870000,Inversiones Financieras,5000000.00
101,gastos,Funcion Ejecutiva,00,Tesoro Nacional,880000,Transferncias y Donaciones de Capital,3016043399.88
102,gastos,Funcion Ejecutiva,00,Tesoro Nacional,960000,Amortizacion de la Deuda Publica,1453618068.45
103,gastos,Funcion Legislativa,01,Sectorial Legislativo,510000,Gastos en Personal,45058792.00
104,gastos,Funcion Legislativa,01,Sectorial Legislativo,530000,Bienes de Servicios de Consumo,9851896.22
105,gastos,Funcion Legislativa,01,Sectorial Legislativo,570000,Otros Gastos Corrientes,980930.00
106,gastos,Funcion Legislativa,01,Sectorial Legislativo,580000,Transferencias y Donaciones Corrientes,357388.00
107,gastos,Funcion Legislativa,01,Sectorial Legislativo,750000,Obras Publicas,6000000.00
108,gastos,Funcion Legislativa,01,Sectorial Legislativo,840000,Bienes de Larga Duracion ,3275000.00
109,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,510000,Gastos en Personal ,351868972.00
110,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,530000,Bienes de Servicios de Consumo,26963677.92
111,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,570000,Otros Gastos Corrientes,1004239.05
112,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,580000,Transferencias y Donaciones Corrientes,234720.00
113,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,730000,Bienes y Servicios para Inversion,39954672.10
114,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,750000,Obras Publicas,84384435.08
115,gastos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,840000,Bienes de Larga Duracion ,655000.00
116,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,510000,Gastos en Personal ,152840913.00
117,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,530000,Bienes y Servicios de Consumo,105287629.41
118,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,570000,Otros Gastos Corrientes,6326525.38
119,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,580000,Transferencias y Donaciones Corrientes,44971310.32
120,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,710000,Gastos en Personal para Inversion,28383001.60
121,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,730000,Bienes y Servicios para Inversion,191572347.29
122,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,750000,Obras Publicas,25667103.78
123,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,770000,Otros Gastos de Inversiones,297006.64
124,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,840000,Bienes de Larga Duracion ,21434545.11
125,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,870000,Inversiones Financieras,899153.08
126,gastos,Funcion Ejecutiva,03,Sectorial Administrativo,990000,Otros Pasivos,503744.00
127,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,510000,Gastos en Personal ,30176903.00
128,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,530000,Bienes y Servicios de Consumo,16637488.41
129,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,570000,Otros Gastos Corrientes,503072.00
130,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,580000,Transferencias y Donaciones Corrientes,7286242.84
131,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,710000,Gastos en Personal para Inversion,3102553.89
132,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,730000,Bienes y Servicios para Inversion,89896286.10
133,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,750000,Obras Publicas,6244030.57
134,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,770000,Otros Gastos de Inversion,132686.75
135,gastos,Funcion Ejecutiva,04,Sectorial Ambiente,840000,Bienes de Larga Duracion ,10834501.16
136,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,510000,Gastos en Personal,1156876399.00
137,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,530000,Bienes y Servicios de Consumo,173695264.15
138,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,560000,Gastos Financieros,184940.64
139,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,570000,Otros Gastos Corrientes,5673115.00
140,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,580000,Transferencias y Donaciones Corrientes,36039417.59
141,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,710000,Gastos en Personal para Inversion,10728113.23
142,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,730000,Bienes y Servicios para Inversion,173990956.80
143,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,750000,Obras Publicas,258225935.12
144,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,770000,Otros Gastos de Inversion,189803.45
145,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,840000,Bienes de Larga Duracion ,3707614.52
146,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,960000,Amortizacion de la Deuda Publica,976351.42
147,gastos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,990000,Otros Pasivos,477993.00
148,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,510000,Gastos en Personal,1192109210.00
149,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,530000,Bienes y Servicios de Consumo,210199402.80
150,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,560000,Gastos Financieros,1122499.05
151,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,570000,Otros Gastos Corrientes,34332382.74
152,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,580000,Transferencias y Donaciones Corrientes,763067.00
153,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,710000,Gastos en Personal para Inversion,882411.73
154,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,730000,Bienes y Servicios para Inversion,118869885.56
155,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,750000,Obras Publicas,23814649.58
156,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,770000,Otros Gastos de Inversion,93162.52
157,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,840000,Bienes de Larga Duracion ,65374117.00
158,gastos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,960000,Amortizacion de la Deuda Publica,1180057.00
159,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,510000,Gastos en Personal,60323350.00
160,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,530000,Bienes y Servicios de Consumo,28131708.50
161,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,570000,Otros Gastos Corrientes,3062468.04
162,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,580000,Transferencias y Donaciones Corrientes,7583645.98
163,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,710000,Gastos en Personal para Inversion,4231235.65
164,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,730000,Bienes y Servicios para Inversion,6093617.71
165,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,840000,Bienes de Larga Duracion ,400000.00
166,gastos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,960000,Amortizacion de la Deuda Publica,180000.00
167,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,510000,Gastos en Personal,104108448.00
168,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,530000,Bienes y Servicios de Consumo,40076365.05
169,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,570000,Otros Gastos Corrientes,991105.00
170,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,580000,Transferencias y Donaciones Corrientes,1489624.36
171,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,730000,Bienes y Servicios para Inversion,5731582.06
172,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,750000,Obras Publicas,2374159.10
173,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,840000,Bienes de Larga Duracion ,8461162.65
174,gastos,Funcion Ejecutiva,08,Sectorial de Finanzas,990000,Otros Pasivos,633230.76
175,gastos,Funcion Ejecutiva,09,Sectorial Educacion,510000,Gastos en Personal,3079831205.32
176,gastos,Funcion Ejecutiva,09,Sectorial Educacion,530000,Bienes y Servicios de Consumo,382331470.19
177,gastos,Funcion Ejecutiva,09,Sectorial Educacion,560000,Gastos Financieros,1076538.22
178,gastos,Funcion Ejecutiva,09,Sectorial Educacion,570000,Otros Gastos Corrientes,7092742.88
179,gastos,Funcion Ejecutiva,09,Sectorial Educacion,580000,Transferencias y Donaciones Corrientes,92902213.21
180,gastos,Funcion Ejecutiva,09,Sectorial Educacion,710000,Gastos en Personal para Inversion,90181092.69
181,gastos,Funcion Ejecutiva,09,Sectorial Educacion,730000,Bienes y Servicios para Inversion,372222075.52
182,gastos,Funcion Ejecutiva,09,Sectorial Educacion,750000,Obras Publicas,11074567.37
183,gastos,Funcion Ejecutiva,09,Sectorial Educacion,770000,Otros Gastos de Inversion ,50724.54
184,gastos,Funcion Ejecutiva,09,Sectorial Educacion,840000,Bienes de Larga Duracion ,100580205.56
185,gastos,Funcion Ejecutiva,09,Sectorial Educacion,960000,Amortizacion de la Deuda Publica,2271812.39
186,gastos,Funcion Ejecutiva,09,Sectorial Educacion,970000,Pasivo Circulante,1200.00
187,gastos,Funcion Ejecutiva,09,Sectorial Educacion,990000,Otros Pasivos,978520.28
188,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,510000,Gastos en Personal,60934297.00
189,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,530000,Bienes y Servicios de Consumo,107740434.59
190,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,560000,Gastos Financieros,4058.00
191,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,570000,Otros Gastos Corrientes,12525026.00
192,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,580000,Transferencias y Donaciones Corrientes,794286778.91
193,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,710000,Gastos en Personal para Inversion,34301836.44
194,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,730000,Bienes y Servicios para Inversion,156289283.77
195,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,770000,Otros Gastos de Inversion ,11323.06
196,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,840000,Bienes de Larga Duracion ,2542684.03
197,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,960000,Amortizacion de la Deuda Publica,7332.00
198,gastos,Funcion Ejecutiva,10,Sectorial Bienestar Social,990000,Otros Pasivos,1372564.61
199,gastos,Funcion Ejecutiva,11,Sectorial Trabajo,510000,Gastos en Personal,45828687.00
200,gastos,Funcion Ejecutiva,11,Sectorial Trabajo,530000,Bienes y Servicios de Consumo,10103075.35
201,gastos,Funcion Ejecutiva,11,Sectorial Trabajo,570000,Otros Gastos Corrientes,230741.00
202,gastos,Funcion Ejecutiva,11,Sectorial Trabajo,580000,Transferencias y Donaciones Corrientes,129000.00
203,gastos,Funcion Ejecutiva,11,Sectorial Trabajo,710000,Gastos en Personal para Inversion,211583.95
204,gastos,Funcion Ejecutiva,11,Sectorial Trabajo,730000,Bienes y Servicios para Inversion,6361346.33
205,gastos,Funcion Ejecutiva,12,Sectorial Trabajo,840000,Bienes y Servicios para Inversion,2572251.57
206,gastos,Funcion Ejecutiva,12,Sectorial de Salud,510000,Gastos en Personal,891844551.00
207,gastos,Funcion Ejecutiva,12,Sectorial de Salud,530000,Bienes y Servicios de Consumo,197297739.12
208,gastos,Funcion Ejecutiva,12,Sectorial de Salud,570000,Otros Gastos Corrientes,1484154.00
209,gastos,Funcion Ejecutiva,12,Sectorial de Salud,580000,Transferencias y Donaciones Corrientes,64827605.96
210,gastos,Funcion Ejecutiva,12,Sectorial de Salud,710000,Gastos en Personal para Inversion,791157.34
211,gastos,Funcion Ejecutiva,12,Sectorial de Salud,730000,Bienes y Servicios para Inversion,225430870.68
212,gastos,Funcion Ejecutiva,12,Sectorial de Salud,750000,Obras Publicas,27371467.65
213,gastos,Funcion Ejecutiva,12,Sectorial de Salud,840000,Bienes de Larga Duracion ,366536764.67
214,gastos,Funcion Ejecutiva,12,Sectorial de Salud,990000,Otros Pasivos,250000.00
215,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,510000,Gastos en Personal,64698680.00
216,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,530000,Bienes y Servicios de Consumo,58674457.76
217,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,560000,Gastos Financieros,16800.00
218,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,570000,Otros Gastos Corrientes,2173340.29
219,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,580000,Transferencias y Donaciones Corrientes,3478435.61
220,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,710000,Gastos en Personal para Inversion,22274272.10
221,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,730000,Bienes y Servicios para Inversion,52845136.07
222,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,770000,Otros Gastos de Inversion,286203.09
223,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,840000,Bienes de Larga Duracion ,4775315.56
224,gastos,Funcion Ejecutiva,13,Sectorial Agropecuario,990000,Otros Pasivos,2237531.47
225,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,510000,Gastos en Personal,35489395.00
226,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,530000,Bienes y Servicios de Consumo,16088850.44
227,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,570000,Otros Gastos Corrientes,667155.00
228,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,580000,Transferencias y Donaciones Corrientes,102923727.38
229,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,710000,Gastos en Personal para Inversion,17822192.73
230,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,730000,Bienes y Servicios para Inversion,126085152.67
231,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,750000,Obras Publicas,851616099.33
232,gastos,Funcion Ejecutiva,14,Sectorial Recursos Naturales,840000,Bienes de Larga Duracion ,9723589.29
233,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,510000,Gastos en Personal,13108461.00
234,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,530000,Bienes y Servicios de Consumo,5878614.67
235,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,570000,Otros Gastos Corrientes,184175.00
236,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,580000,Transferencias y Donaciones Corrientes,40000.00
237,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,710000,Gastos en Personal para Inversion,830560.09
238,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,730000,Bienes y Servicios para Inversion,14172691.81
239,gastos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,840000,Bienes de Larga Duracion ,185000.00
240,gastos,Funcion Ejecutiva,16,Sectorial Turismo,510000,Gastos en Personal,8047192.00
241,gastos,Funcion Ejecutiva,16,Sectorial Turismo,530000,Bienes y Servicios de Consumo,1943143.28
242,gastos,Funcion Ejecutiva,16,Sectorial Turismo,570000,Otros Gastos Corrientes,139844.74
243,gastos,Funcion Ejecutiva,16,Sectorial Turismo,580000,Transferencias y Donaciones Corrientes,75000.00
244,gastos,Funcion Ejecutiva,16,Sectorial Turismo,730000,Bienes y Servicios para Inversion,40174897.40
245,gastos,Funcion Ejecutiva,16,Sectorial Turismo,840000,Bienes de Larga Duracion ,50000.00
246,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,510000,Gastos en Personal,65948849.00
247,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,530000,Bienes y Servicios de Consumo,31990093.41
248,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,560000,Gastos Financieros,121240.00
249,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,570000,Otros Gastos Corrientes,1688347.00
250,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,580000,Transferencias y Donaciones Corrientes,3811273.19
251,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,710000,Gastos en Personal para Inversion,70776.41
252,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,730000,Bienes y Servicios para Inversion,89470156.06
253,gastos,Funcion Ejecutiva,17,Sectorial Comunicaciones ,750000,Obras Publicas,831313440.56
